X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7910482.11727245,5218089.13727518,N_601230550253962329,BCYF Indoor,Q2JD-VTCK-Y2SH,BCYF-Charlestown-AP2,"240 Medford St., Charlestown, MA - Admin office",42.3801093230001,-71.0610699069999,"['BCYF', 'BCYF-Grant', 'Charlestown', 'Inside']",2024/08/20 04:31:47+00,1,BCYF,,Inside,Charlestown,111
-7910482.11727245,5218089.13727518,N_601230550253962329,BCYF Indoor,Q2JD-UTKP-YWHB,BCYF-Charlestown-AP1,"240 Medford St., Charlestown, MA - meeting room",42.3801093230001,-71.0610699069999,"['BCYF', 'BCYF-Grant', 'Charlestown', 'Inside']",2024/08/20 04:31:47+00,1,BCYF,,Inside,Charlestown,112
-7917899.50014213,5203994.24347405,N_601230550253962329,BCYF Indoor,Q2JD-XNJC-E9DV,BCYF-Roslindale-AP1,"6 Cummins Highway, Roslindale, MA - Meeting room",42.286509343,-71.127701391,"['BCYF', 'BCYF-Grant', 'Inside', 'Roslindale']",2024/08/20 04:31:47+00,1,BCYF,,Inside,Roslindale,113
-7917899.50014213,5203994.24347405,N_601230550253962329,BCYF Indoor,Q2JD-URL9-7FSE,BCYF-Roslindale-AP2,"6 Cummins Highway, Roslindale, MA - Room 108 after school room",42.286509343,-71.127701391,"['BCYF', 'BCYF-Grant', 'Inside', 'Roslindale']",2024/08/20 04:31:47+00,1,BCYF,,Inside,Roslindale,114
-7917899.50014213,5203994.24347405,N_601230550253962329,BCYF Indoor,Q2JD-XLEC-WCDN,BCYF-Roslindale-AP3,"6 Cummins Highway, Roslindale, MA - room 205 teen room",42.286509343,-71.127701391,"['BCYF', 'BCYF-Grant', 'Inside', 'Roslindale']",2024/08/20 04:31:47+00,1,BCYF,,Inside,Roslindale,115
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-6MR4-Y7UM,BCYF-Vine Street-Room 107,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,116
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-HLM8-574W,BCYF-Vine Street-Senior Lounge 222 AP1,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,117
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-54N8-9YC9,BCYF-Vine Street-Senior Room 222 AP2,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,118
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-DSEF-JAHC,BCYF-Vine Street- Classroom B,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,119
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-DUHQ-HF7B,BCYF-Vine Street-Computer room 205,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,120
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-D7L7-Y73T,BCYF-Vine Street-Fitness room 219,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,121
,,L_601230550253963853,Mobile WiFi Kit 5,Q2ZY-CKEJ-LDAC,MG41-5,,,,[],2024/08/20 04:31:37+00,1,,,,,122
-7911607.22358854,5205989.29364355,N_568579452955534204,Dorchester,Q2CK-CJQV-TSTH,DOT-MARSHALL-AP2,"35 Westville St., Dorchester, MA",42.299766338,-71.071176909,"['BPS', 'Marshall-School', 'Outside', 'UP-Academy']",2024/08/20 04:31:39+00,1,BPS,,Outside,Marshall School UP Academy,123
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-TEW9-ABKD,BCYF-Vine Street-Art Room 122,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,124
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-VVDJ-5Z5M,BCYF-Vine Street-Room 123,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,125
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-YT4H-L4ES,BCYF-Vine Street-room 106 Teen,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,126
-7912222.87558709,5210059.25306829,N_601230550253962329,BCYF Indoor,Q2LD-GHSY-3U4C,BCYF-Vine Street-Dance Studio 209 left,"339 Dudley Street. Boston, MA",42.326802334,-71.076707405,[],2024/08/20 04:31:47+00,1,,,,,127
-7916421.2332981,5207614.90020435,N_601230550253962845,Jamaica Plain,Q2CK-NER6-DHDA,JP-BFDE28-AP1,"746 Centre Street, Jamaica Plain",42.3105663380001,-71.114421894,['recently-added'],2024/08/20 04:31:48+00,1,,,,,128
-7916494.37020355,5207353.42966228,N_601230550253962845,Jamaica Plain,Q2CK-SPCX-L9G6,JP-Curtis Hall-BCYF-AP1,"20 South St, Jamaica Plain, MA 02130",42.3088293380001,-71.115078894,"['BCYF', 'BCYF-Grant', 'Curtis-Hall', 'Outside']",2024/08/20 04:31:48+00,1,BCYF,,Outside,Curtis Hall,129
-7916551.66837083,5207223.66843261,N_601230550253962845,Jamaica Plain,Q2CK-L8D3-H68P,JP-Curtis Hall-BCYF-AP3,"55 South St, Jamaica Plain",42.3079672909511,-71.1155936121941,"['Centre-South-Main-Street', 'Lightpole', 'Outside']",2024/08/20 04:31:48+00,1,,,Outside,Centre South Main Street Lightpole,130
-7916494.37020355,5207353.42966228,N_601230550253962845,Jamaica Plain,Q2CK-LHCB-ZA9D,JP-Curtis Hall-BCYF-AP2,"20 South St, Jamaica Plain, MA 02130",42.3088293380001,-71.115078894,"['BCYF', 'Centre-South-Main-Street', 'Curtis-Hall', 'Outside']",2024/08/20 04:31:48+00,1,BCYF,,Outside,Centre South Main Street Curtis Hall,131
-7916421.2332981,5207614.90020435,N_601230550253962845,Jamaica Plain,Q2CK-NLSB-E9TE,JP-BFDE28-AP3,"746 Centre Street, Jamaica Plain",42.3105663380001,-71.114421894,['recently-added'],2024/08/20 04:31:48+00,1,,,,,132
-7916421.2332981,5207614.90020435,N_601230550253962845,Jamaica Plain,Q2CK-NLUC-P9T6,JP-BFDE28-AP2,"746 Centre Street, Jamaica Plain",42.3105663380001,-71.114421894,['recently-added'],2024/08/20 04:31:48+00,1,,,,,133
-7911026.63689562,5208425.09782009,N_601230550253965255,Strand Theatre - External,Q2QD-428C-NVTB,Strand_Centered above external set of doors,"543 Columbia Road Boston, MA 02125",42.315948335,-71.0659614099999,['Outside'],2024/08/20 04:31:48+00,1,,,Outside,,134
-7911026.63689562,5208425.09782009,N_601230550253965255,Strand Theatre - External,Q2QD-42EC-LQ5Z,Strand_Marquee support left,"543 Columbia Road Boston, MA 02125",42.315948335,-71.0659614099999,['Outside'],2024/08/20 04:31:48+00,1,,,Outside,,135
-7911026.63689562,5208425.09782009,N_601230550253965256,Strand Theatre - Internal,Q2KD-JUWB-SVBB,Strand_Camera room theatre wall ,"543 Columbia Rd, Boston, MA 02125",42.315948335,-71.0659614099999,['Inside'],2024/08/20 04:31:49+00,1,,,Inside,,136
-7911026.63689562,5208425.09782009,N_601230550253965256,Strand Theatre - Internal,Q2KD-6HAC-QJAE,Strand_Orchestra lobby_AP2,"543 Columbia Rd, Boston, MA 02125",42.315948335,-71.0659614099999,['Inside'],2024/08/20 04:31:49+00,1,,,Inside,,137
-7911026.63689562,5208425.09782009,N_601230550253965256,Strand Theatre - Internal,Q2KD-V49N-RSA2,Strand_Orchestra lobby_AP1,"543 Columbia Rd, Boston, MA 02125",42.315948335,-71.0659614099999,['Inside'],2024/08/20 04:31:49+00,1,,,Inside,,138
